Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,6.20000000000001,7.2,8.2,9.5,10.9,12.2,13.85,15.3,16.7,18.4,20,21.8,23,24.8,26.1,27.4
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.61359095573425,4.07457399368286,9.40915775299072,14.7385063171387,20.0649681091309,25.3908939361572,30.7186908721924,36.0510101318359,42.4000015258789,46.7400512695313,42.7000007629395,43.2220191955566,69.0999984741211,68.2906494140625,89.5,71.5
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,3.24060392379761,11.1138515472412,15.7653656005859,22.0606784820557,27.9542503356934,34.7457847595215,30.2187995910645,29.5728797912598,60.8491554260254,60.5661354064941,86.5005111694336,64.573356628418
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.1334686279297,73.5990371704102,75.0632781982422,76.5331344604492,78.0155563354492,74,81.0437698364258,82.5908203125,89.9000015258789,85.7244720458984,82.8000030517578,86.5677795410156,95,92.2590484619141,98.6999969482422,92.5
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..,..,..,..,..,..,..,..,..,0.265019028375943,0.354491193186429,0.397696520878019,0.386703580037567,0.289482199333597,0.288231474992077,0.29524233685244
Afghanistan,AFG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..,..,..,..,..,..,..,..,..,0.225026315325504,0.288674055424103,0.249322788634158,0.213734762904352,0.21375018912259,0.2171304067401,0.243271589310412
Afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,108.346634638347,108.989885630326,109.347156856031,109.447532468806,109.286819841522,107.964604634786,106.326191061417,108.338124901525,109.240378534809,106.845774392516,105.433416353011,102.585972002296,99.3003598680057,97.1255336528636,94.7066970972784,93.0424476640396
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.882955399169,57.882955399169,57.882955399169,58.123668031216,58.125201232694,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.125201232694,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,72.8045325779037,68.5897435897436,73.1903485254692,73.4320557491289,72.7748691099476,72.8363324764353,58.0926796507723,48.6187845303867,44.2038791159224,..,..,..,..,..,..,..
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,90.3314917127072,88.8198757763975,90,90.1041666666667,90.0262467191601,90.176322418136,83.743842364532,78.1176470588235,75.1565762004175,..,..,..,..,..,..,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,38.6278918638443,37.4188554431481,29.7210671376957,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
Afghanistan,AFG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,12.4,..,..,14.3,..,..,18.9,..,24,..,34.3,38.6,39.9,..,45.2,50.5
Afghanistan,AFG,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1000,800,900,900,1000,1000,1000,1000,1000,1000,1000,1150,1300,1450,1600,1750
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,59.8146503168484,..,..,..,..,..,..,..,..,..,48.1499135188659,..,..,..,..,39.3909806318543
